date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-01,AT,0.0,0.0,,,0.0,0.0,,
2020-01-02,AT,0.0,0.0,,,0.0,0.0,,
2020-01-03,AT,0.0,0.0,,,0.0,0.0,,
2020-01-04,AT,0.0,0.0,,,0.0,0.0,,
2020-01-05,AT,0.0,0.0,,,0.0,0.0,,
2020-01-06,AT,0.0,0.0,,,0.0,0.0,,
2020-01-07,AT,0.0,0.0,,,0.0,0.0,,
2020-01-08,AT,0.0,0.0,,,0.0,0.0,,
2020-01-09,AT,0.0,0.0,,,0.0,0.0,,
2020-01-10,AT,0.0,0.0,,,0.0,0.0,,
2020-01-11,AT,0.0,0.0,,,0.0,0.0,,
2020-01-12,AT,0.0,0.0,,,0.0,0.0,,
2020-01-13,AT,0.0,0.0,,,0.0,0.0,,
2020-01-14,AT,0.0,0.0,,,0.0,0.0,,
2020-01-15,AT,0.0,0.0,,,0.0,0.0,,
2020-01-16,AT,0.0,0.0,,,0.0,0.0,,
2020-01-17,AT,0.0,0.0,,,0.0,0.0,,
2020-01-18,AT,0.0,0.0,,,0.0,0.0,,
2020-01-19,AT,0.0,0.0,,,0.0,0.0,,
2020-01-20,AT,0.0,0.0,,,0.0,0.0,,
2020-01-21,AT,0.0,0.0,,,0.0,0.0,,
2020-01-22,AT,0.0,0.0,,,0.0,0.0,,
2020-01-23,AT,0.0,0.0,,,0.0,0.0,,
2020-01-24,AT,0.0,0.0,,,0.0,0.0,,
2020-01-25,AT,0.0,0.0,,,0.0,0.0,,
2020-01-26,AT,0.0,0.0,,,0.0,0.0,,
2020-01-27,AT,0.0,0.0,,,0.0,0.0,,
2020-01-28,AT,0.0,0.0,,,0.0,0.0,,
2020-01-29,AT,0.0,0.0,,,0.0,0.0,,
2020-01-30,AT,0.0,0.0,,,0.0,0.0,,
2020-01-31,AT,0.0,0.0,,,0.0,0.0,,
2020-02-01,AT,0.0,0.0,,,0.0,0.0,,
2020-02-02,AT,0.0,0.0,,,0.0,0.0,,
2020-02-03,AT,0.0,0.0,,,0.0,0.0,,
2020-02-04,AT,0.0,0.0,,,0.0,0.0,,
2020-02-05,AT,0.0,0.0,,,0.0,0.0,,
2020-02-06,AT,0.0,0.0,,,0.0,0.0,,
2020-02-07,AT,0.0,0.0,,,0.0,0.0,,
2020-02-08,AT,0.0,0.0,,,0.0,0.0,,
2020-02-09,AT,0.0,0.0,,,0.0,0.0,,
2020-02-10,AT,0.0,0.0,,,0.0,0.0,,
2020-02-11,AT,0.0,0.0,,,0.0,0.0,,
2020-02-12,AT,0.0,0.0,,,0.0,0.0,,
2020-02-13,AT,0.0,0.0,,,0.0,0.0,,
2020-02-14,AT,0.0,0.0,,,0.0,0.0,,
2020-02-15,AT,0.0,0.0,,,0.0,0.0,,
2020-02-16,AT,0.0,0.0,,,0.0,0.0,,
2020-02-17,AT,0.0,0.0,,,0.0,0.0,,
2020-02-18,AT,0.0,0.0,,,0.0,0.0,,
2020-02-19,AT,0.0,0.0,,,0.0,0.0,,
2020-02-20,AT,0.0,0.0,,,0.0,0.0,,
2020-02-21,AT,0.0,0.0,,,0.0,0.0,,
2020-02-22,AT,0.0,0.0,,,0.0,0.0,,
2020-02-23,AT,0.0,0.0,,,0.0,0.0,,
2020-02-24,AT,1.0,0.0,,,1.0,0.0,,
2020-02-25,AT,0.0,0.0,,,1.0,0.0,,
2020-02-26,AT,1.0,0.0,0.0,,1.0,0.0,0.0,
2020-02-27,AT,2.0,0.0,0.0,,3.0,0.0,0.0,
2020-02-28,AT,4.0,0.0,0.0,,7.0,0.0,0.0,
2020-02-29,AT,1.0,0.0,0.0,,8.0,0.0,0.0,
2020-03-01,AT,4.0,0.0,0.0,,12.0,0.0,0.0,
2020-03-02,AT,5.0,0.0,0.0,,17.0,0.0,0.0,
2020-03-03,AT,6.0,0.0,0.0,,23.0,0.0,0.0,
2020-03-04,AT,14.0,0.0,0.0,,37.0,0.0,0.0,
2020-03-05,AT,9.0,0.0,2.0,,46.0,0.0,2.0,
2020-03-06,AT,29.0,0.0,0.0,,75.0,0.0,2.0,
2020-03-07,AT,23.0,0.0,0.0,,98.0,0.0,2.0,
2020-03-08,AT,28.0,0.0,0.0,,126.0,0.0,2.0,
2020-03-09,AT,22.0,0.0,0.0,,148.0,0.0,2.0,
2020-03-10,AT,55.0,0.0,1.0,,203.0,0.0,3.0,
2020-03-11,AT,109.0,0.0,1.0,,312.0,0.0,4.0,
2020-03-12,AT,97.0,1.0,3.0,,409.0,1.0,7.0,
2020-03-13,AT,182.0,0.0,0.0,,591.0,1.0,7.0,
2020-03-14,AT,210.0,1.0,3.0,,801.0,2.0,10.0,
2020-03-15,AT,198.0,1.0,4.0,,999.0,3.0,14.0,
2020-03-16,AT,226.0,2.0,12.0,,1225.0,5.0,26.0,
2020-03-17,AT,346.0,2.0,2.0,,1571.0,7.0,28.0,
2020-03-18,AT,372.0,5.0,2.0,,1943.0,12.0,30.0,
2020-03-19,AT,455.0,3.0,4.0,,2398.0,15.0,34.0,
2020-03-20,AT,509.0,5.0,10.0,,2907.0,20.0,44.0,
2020-03-21,AT,548.0,6.0,11.0,,3455.0,26.0,55.0,
2020-03-22,AT,618.0,8.0,18.0,,4073.0,34.0,73.0,
2020-03-23,AT,687.0,12.0,57.0,,4760.0,46.0,130.0,
2020-03-24,AT,723.0,10.0,91.0,,5483.0,56.0,221.0,
2020-03-25,AT,754.0,9.0,97.0,,6237.0,65.0,318.0,
2020-03-26,AT,1056.0,16.0,159.0,,7293.0,81.0,477.0,
2020-03-27,AT,807.0,20.0,221.0,,8100.0,101.0,698.0,
2020-03-28,AT,617.0,19.0,196.0,,8717.0,120.0,894.0,
2020-03-29,AT,547.0,14.0,251.0,,9264.0,134.0,1145.0,
2020-03-30,AT,673.0,21.0,368.0,,9937.0,155.0,1513.0,
2020-03-31,AT,550.0,19.0,373.0,,10487.0,174.0,1886.0,16834.0
2020-04-01,AT,548.0,11.0,342.0,75356.0,11035.0,185.0,2228.0,16834.0
2020-04-02,AT,438.0,20.0,381.0,75356.0,11473.0,205.0,2609.0,92190.0
2020-04-03,AT,411.0,18.0,470.0,6153.0,11884.0,223.0,3079.0,98343.0
2020-04-04,AT,253.0,20.0,531.0,5791.0,12137.0,243.0,3610.0,104134.0
2020-04-05,AT,183.0,22.0,341.0,4282.0,12320.0,265.0,3951.0,108416.0
2020-04-06,AT,306.0,31.0,716.0,2880.0,12626.0,296.0,4667.0,111296.0
2020-04-07,AT,289.0,29.0,519.0,3939.0,12915.0,325.0,5186.0,115235.0
2020-04-08,AT,290.0,17.0,605.0,5520.0,13205.0,342.0,5791.0,120755.0
2020-04-09,AT,276.0,22.0,596.0,5532.0,13481.0,364.0,6387.0,126287.0
2020-04-10,AT,357.0,23.0,633.0,8456.0,13838.0,387.0,7020.0,134743.0
2020-04-11,AT,203.0,17.0,401.0,6232.0,14041.0,404.0,7421.0,140975.0
2020-04-12,AT,111.0,12.0,312.0,3902.0,14152.0,416.0,7733.0,144877.0
2020-04-13,AT,87.0,21.0,305.0,3535.0,14239.0,437.0,8038.0,148412.0
2020-04-14,AT,150.0,13.0,553.0,3384.0,14389.0,450.0,8591.0,151796.0
2020-04-15,AT,129.0,16.0,485.0,5005.0,14518.0,466.0,9076.0,156801.0
2020-04-16,AT,112.0,23.0,448.0,6015.0,14630.0,489.0,9524.0,162816.0
2020-04-17,AT,99.0,13.0,412.0,6456.0,14729.0,502.0,9936.0,169272.0
2020-04-18,AT,60.0,18.0,254.0,6660.0,14789.0,520.0,10190.0,175932.0
2020-04-19,AT,47.0,17.0,161.0,3312.0,14836.0,537.0,10351.0,179244.0
2020-04-20,AT,68.0,9.0,386.0,3705.0,14904.0,546.0,10737.0,182949.0
2020-04-21,AT,70.0,18.0,429.0,6069.0,14974.0,564.0,11166.0,189018.0
2020-04-22,AT,73.0,12.0,255.0,12776.0,15047.0,576.0,11421.0,201794.0
2020-04-23,AT,60.0,8.0,242.0,4041.0,15107.0,584.0,11663.0,205835.0
2020-04-24,AT,79.0,8.0,247.0,6851.0,15186.0,592.0,11910.0,212686.0
2020-04-25,AT,62.0,14.0,139.0,8403.0,15248.0,606.0,12049.0,221089.0
2020-04-26,AT,35.0,9.0,108.0,6542.0,15283.0,615.0,12157.0,227631.0
2020-04-27,AT,70.0,6.0,194.0,4906.0,15353.0,621.0,12351.0,232537.0
2020-04-28,AT,49.0,14.0,161.0,7041.0,15402.0,635.0,12512.0,239578.0
2020-04-29,AT,61.0,7.0,168.0,8176.0,15463.0,642.0,12680.0,247754.0
2020-04-30,AT,54.0,7.0,197.0,8645.0,15517.0,649.0,12877.0,256399.0
2020-05-01,AT,37.0,4.0,111.0,7680.0,15554.0,653.0,12988.0,264079.0
2020-05-02,AT,28.0,4.0,79.0,5540.0,15582.0,657.0,13067.0,269619.0
2020-05-03,AT,12.0,9.0,57.0,4736.0,15594.0,666.0,13124.0,274355.0
2020-05-04,AT,30.0,4.0,146.0,4716.0,15624.0,670.0,13270.0,279071.0
2020-05-05,AT,54.0,3.0,120.0,6812.0,15678.0,673.0,13390.0,285883.0
2020-05-06,AT,46.0,7.0,114.0,6371.0,15724.0,680.0,13504.0,292254.0
2020-05-07,AT,40.0,3.0,111.0,5640.0,15764.0,683.0,13615.0,297894.0
2020-05-08,AT,49.0,5.0,160.0,6175.0,15813.0,688.0,13775.0,304069.0
2020-05-09,AT,30.0,7.0,69.0,7621.0,15843.0,695.0,13844.0,311690.0
2020-05-10,AT,15.0,3.0,53.0,4818.0,15858.0,698.0,13897.0,316508.0
2020-05-11,AT,65.0,3.0,89.0,2976.0,15923.0,701.0,13986.0,319484.0
2020-05-12,AT,38.0,1.0,85.0,9830.0,15961.0,702.0,14071.0,329314.0
2020-05-13,AT,52.0,3.0,73.0,6938.0,16013.0,705.0,14144.0,336252.0
2020-05-14,AT,54.0,4.0,70.0,8354.0,16067.0,709.0,14214.0,344606.0
2020-05-15,AT,81.0,0.0,70.0,6745.0,16148.0,709.0,14284.0,351351.0
2020-05-16,AT,15.0,1.0,53.0,6042.0,16163.0,710.0,14337.0,357393.0
2020-05-17,AT,26.0,2.0,25.0,5116.0,16189.0,712.0,14362.0,362509.0
2020-05-18,AT,58.0,4.0,48.0,3560.0,16247.0,716.0,14410.0,366069.0
2020-05-19,AT,61.0,1.0,69.0,6366.0,16308.0,717.0,14479.0,372435.0
2020-05-20,AT,30.0,4.0,48.0,7157.0,16338.0,721.0,14527.0,379592.0
2020-05-21,AT,31.0,3.0,51.0,6045.0,16369.0,724.0,14578.0,385637.0
2020-05-22,AT,28.0,4.0,48.0,4851.0,16397.0,728.0,14626.0,390488.0
2020-05-23,AT,24.0,1.0,46.0,5875.0,16421.0,729.0,14672.0,396363.0
2020-05-24,AT,31.0,1.0,37.0,5494.0,16452.0,730.0,14709.0,401857.0
2020-05-25,AT,25.0,2.0,55.0,3484.0,16477.0,732.0,14764.0,405341.0
2020-05-26,AT,22.0,4.0,84.0,5844.0,16499.0,736.0,14848.0,411185.0
2020-05-27,AT,50.0,1.0,73.0,7521.0,16549.0,737.0,14921.0,418706.0
2020-05-28,AT,19.0,2.0,77.0,8666.0,16568.0,739.0,14998.0,427372.0
2020-05-29,AT,42.0,2.0,56.0,6930.0,16610.0,741.0,15054.0,434302.0
2020-05-30,AT,32.0,0.0,31.0,7841.0,16642.0,741.0,15085.0,442143.0
2020-05-31,AT,5.0,4.0,32.0,6391.0,16647.0,745.0,15117.0,448534.0
2020-06-01,AT,19.0,1.0,32.0,3286.0,16666.0,746.0,15149.0,451820.0
2020-06-02,AT,16.0,3.0,67.0,4558.0,16682.0,749.0,15216.0,456378.0
2020-06-03,AT,53.0,3.0,36.0,6580.0,16735.0,752.0,15252.0,462958.0
2020-06-04,AT,17.0,4.0,47.0,8508.0,16752.0,756.0,15299.0,471466.0
2020-06-05,AT,67.0,2.0,33.0,7983.0,16819.0,758.0,15332.0,479449.0
2020-06-06,AT,31.0,1.0,24.0,6463.0,16850.0,759.0,15356.0,485912.0
2020-06-07,AT,25.0,1.0,27.0,3685.0,16875.0,760.0,15383.0,489597.0
2020-06-08,AT,24.0,3.0,53.0,5164.0,16899.0,763.0,15436.0,494761.0
2020-06-09,AT,15.0,2.0,29.0,6160.0,16914.0,765.0,15465.0,500921.0
2020-06-10,AT,34.0,2.0,35.0,5423.0,16948.0,767.0,15500.0,506344.0
2020-06-11,AT,22.0,1.0,29.0,3967.0,16970.0,768.0,15529.0,510311.0
2020-06-12,AT,37.0,2.0,27.0,6270.0,17007.0,770.0,15556.0,516581.0
2020-06-13,AT,22.0,1.0,26.0,4395.0,17029.0,771.0,15582.0,520976.0
2020-06-14,AT,18.0,5.0,17.0,3864.0,17047.0,776.0,15599.0,524840.0
2020-06-15,AT,53.0,6.0,32.0,2830.0,17100.0,782.0,15631.0,527670.0
2020-06-16,AT,19.0,3.0,23.0,5030.0,17119.0,785.0,15654.0,532700.0
2020-06-17,AT,31.0,1.0,37.0,7915.0,17150.0,786.0,15691.0,540615.0
2020-06-18,AT,32.0,0.0,32.0,5312.0,17182.0,786.0,15723.0,545927.0
2020-06-19,AT,52.0,2.0,34.0,6203.0,17234.0,788.0,15757.0,552130.0
2020-06-20,AT,32.0,3.0,35.0,6078.0,17266.0,791.0,15792.0,558208.0
2020-06-21,AT,29.0,2.0,13.0,2376.0,17295.0,793.0,15805.0,560584.0
2020-06-22,AT,31.0,3.0,38.0,5216.0,17326.0,796.0,15843.0,565800.0
2020-06-23,AT,43.0,2.0,34.0,6673.0,17369.0,798.0,15877.0,572473.0
2020-06-24,AT,35.0,4.0,22.0,6111.0,17404.0,802.0,15899.0,578584.0
2020-06-25,AT,44.0,2.0,33.0,5659.0,17448.0,804.0,15932.0,584243.0
2020-06-26,AT,74.0,1.0,23.0,6199.0,17522.0,805.0,15955.0,590442.0
2020-06-27,AT,45.0,3.0,30.0,7053.0,17567.0,808.0,15985.0,597495.0
2020-06-28,AT,62.0,2.0,22.0,5025.0,17629.0,810.0,16007.0,602520.0
2020-06-29,AT,49.0,1.0,34.0,3855.0,17678.0,811.0,16041.0,606375.0
2020-06-30,AT,101.0,0.0,30.0,6381.0,17779.0,811.0,16071.0,612756.0
2020-07-01,AT,95.0,1.0,32.0,8110.0,17874.0,812.0,16103.0,620866.0
2020-07-02,AT,80.0,3.0,42.0,7834.0,17954.0,815.0,16145.0,628700.0
2020-07-03,AT,134.0,1.0,46.0,6805.0,18088.0,816.0,16191.0,635505.0
2020-07-04,AT,106.0,3.0,22.0,7174.0,18194.0,819.0,16213.0,642679.0
2020-07-05,AT,76.0,0.0,28.0,5125.0,18270.0,819.0,16241.0,647804.0
2020-07-06,AT,68.0,1.0,38.0,6301.0,18338.0,820.0,16279.0,654105.0
2020-07-07,AT,91.0,0.0,46.0,6044.0,18429.0,820.0,16325.0,660149.0
2020-07-08,AT,118.0,0.0,46.0,8071.0,18547.0,820.0,16371.0,668220.0
2020-07-09,AT,72.0,1.0,51.0,7507.0,18619.0,821.0,16422.0,675727.0
2020-07-10,AT,105.0,0.0,59.0,7757.0,18724.0,821.0,16481.0,683484.0
2020-07-11,AT,90.0,3.0,55.0,8225.0,18814.0,824.0,16536.0,691709.0
2020-07-12,AT,52.0,2.0,45.0,5031.0,18866.0,826.0,16581.0,696740.0
2020-07-13,AT,99.0,2.0,84.0,3876.0,18965.0,828.0,16665.0,700616.0
2020-07-14,AT,123.0,1.0,113.0,7512.0,19088.0,829.0,16778.0,708128.0
2020-07-15,AT,129.0,1.0,80.0,8165.0,19217.0,830.0,16858.0,716293.0
2020-07-16,AT,141.0,1.0,111.0,10052.0,19358.0,831.0,16969.0,726345.0
2020-07-17,AT,124.0,0.0,137.0,8068.0,19482.0,831.0,17106.0,734413.0
2020-07-18,AT,81.0,0.0,61.0,8677.0,19563.0,831.0,17167.0,743090.0
2020-07-19,AT,87.0,5.0,54.0,5579.0,19650.0,836.0,17221.0,748669.0
2020-07-20,AT,90.0,3.0,102.0,49767.0,19740.0,839.0,17323.0,798436.0
2020-07-21,AT,137.0,0.0,130.0,7164.0,19877.0,839.0,17453.0,805600.0
2020-07-22,AT,162.0,1.0,91.0,9081.0,20039.0,840.0,17544.0,814681.0
2020-07-23,AT,117.0,2.0,90.0,11350.0,20156.0,842.0,17634.0,826031.0
2020-07-24,AT,153.0,0.0,101.0,7810.0,20309.0,842.0,17735.0,833841.0
2020-07-25,AT,112.0,2.0,86.0,7049.0,20421.0,844.0,17821.0,840890.0
